Distance,Stroke,AgeGroupMin,AgeGroupMax,Gender,SCM_Time,LCM_Time,Level
50,free,10,12,F,00:36.5,00:36.0,12D
50,free,11,13,M,00:36.5,00:36.0,12D
100,free,10,12,F,01:20.0,01:18.0,12D
100,free,11,12,M,01:23.0,01:18.0,12D
100,free,13,13,M,01:16.0,01:14.0,12D
200,free,10,12,F,03:00.0,02:55.0,12D
200,free,11,12,M,03:00.0,02:55.0,12D
200,free,13,13,M,02:50.0,02:46.0,12D
400,free,10,12,F,06:15.0,06:00.0,12D
400,free,11,12,M,06:15.0,06:00.0,12D
400,free,13,13,M,06:10.0,05:50.0,12D
